Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"waitForElementAttributeValue(btnMasuk, ""enabled"", ""true"", 10)",,,,2026-01-02 17:12:06,2026-01-02 17:12:07,0.803s,PASSED
"verifyElementAttributeValue(btnMasuk, ""enabled"", ""true"", 10)",,,,2026-01-02 17:12:07,2026-01-02 17:12:07,0.138s,PASSED
"tap(btnMasuk, 10)",,,,2026-01-02 17:12:07,2026-01-02 17:12:07,0.191s,PASSED
closeApplication(),,,,2026-01-02 17:12:07,2026-01-02 17:12:08,0.492s,PASSED
,,,,,,,
Test Cases/Login by WA,,,,2026-01-02 17:12:08,2026-01-02 17:12:31,23.784s,PASSED
"startExistingApplication(""id.co.labamu.app"")",,,,2026-01-02 17:12:08,2026-01-02 17:12:21,12.953s,PASSED
"widget = findTestObject(""Object Repository/btn-Widget-While"")",,,,2026-01-02 17:12:21,2026-01-02 17:12:21,0.039s,PASSED
"if (waitForElementPresent(widget, 5))",,,,2026-01-02 17:12:21,2026-01-02 17:12:26,5.088s,PASSED
else,,,,2026-01-02 17:12:26,2026-01-02 17:12:26,0.001s,PASSED
"edtWA = findTestObject(""Object Repository/edt-WA"")",,,,2026-01-02 17:12:26,2026-01-02 17:12:26,0.045s,PASSED
"chkAgreement = findTestObject(""Object Repository/btn-CheckBox"")",,,,2026-01-02 17:12:26,2026-01-02 17:12:26,0.049s,PASSED
"btnMasuk = findTestObject(""Object Repository/btn-Masuk"")",,,,2026-01-02 17:12:26,2026-01-02 17:12:26,0.048s,PASSED
"waitForElementPresent(edtWA, 10)",,,,2026-01-02 17:12:26,2026-01-02 17:12:26,0.280s,PASSED
"tap(edtWA, 10)",,,,2026-01-02 17:12:26,2026-01-02 17:12:27,0.325s,PASSED
"setText(edtWA, wa, 10)",,,,2026-01-02 17:12:27,2026-01-02 17:12:28,1.381s,PASSED
"tap(chkAgreement, 10)",,,,2026-01-02 17:12:28,2026-01-02 17:12:30,1.736s,PASSED
"waitForElementAttributeValue(btnMasuk, ""enabled"", ""true"", 10)",,,,2026-01-02 17:12:30,2026-01-02 17:12:31,0.816s,PASSED
"verifyElementAttributeValue(btnMasuk, ""enabled"", ""true"", 0)",,,,2026-01-02 17:12:31,2026-01-02 17:12:31,0.194s,PASSED
"tap(btnMasuk, 10)",,,,2026-01-02 17:12:31,2026-01-02 17:12:31,0.203s,PASSED
closeApplication(),,,,2026-01-02 17:12:31,2026-01-02 17:12:31,0.385s,PASSED
,,,,,,,
Test Cases/Login by WA,,,,2026-01-02 17:12:31,2026-01-02 17:12:57,25.519s,PASSED
"startExistingApplication(""id.co.labamu.app"")",,,,2026-01-02 17:12:31,2026-01-02 17:12:44,13.074s,PASSED
"widget = findTestObject(""Object Repository/btn-Widget-While"")",,,,2026-01-02 17:12:44,2026-01-02 17:12:44,0.043s,PASSED
"if (waitForElementPresent(widget, 5))",,,,2026-01-02 17:12:44,2026-01-02 17:12:49,5.032s,PASSED
else,,,,2026-01-02 17:12:49,2026-01-02 17:12:49,0.001s,PASSED
"edtWA = findTestObject(""Object Repository/edt-WA"")",,,,2026-01-02 17:12:49,2026-01-02 17:12:50,0.048s,PASSED
"chkAgreement = findTestObject(""Object Repository/btn-CheckBox"")",,,,2026-01-02 17:12:50,2026-01-02 17:12:50,0.039s,PASSED
"btnMasuk = findTestObject(""Object Repository/btn-Masuk"")",,,,2026-01-02 17:12:50,2026-01-02 17:12:50,0.038s,PASSED
"waitForElementPresent(edtWA, 10)",,,,2026-01-02 17:12:50,2026-01-02 17:12:50,0.294s,PASSED
"tap(edtWA, 10)",,,,2026-01-02 17:12:50,2026-01-02 17:12:50,0.353s,PASSED
"setText(edtWA, wa, 10)",,,,2026-01-02 17:12:50,2026-01-02 17:12:52,1.388s,PASSED
"tap(chkAgreement, 10)",,,,2026-01-02 17:12:52,2026-01-02 17:12:54,1.951s,PASSED
"waitForElementAttributeValue(btnMasuk, ""enabled"", ""true"", 10)",,,,2026-01-02 17:12:54,2026-01-02 17:12:54,0.831s,PASSED
"verifyElementAttributeValue(btnMasuk, ""enabled"", ""true"", 0)",,,,2026-01-02 17:12:54,2026-01-02 17:12:55,0.164s,PASSED
"tap(btnMasuk, 10)",,,,2026-01-02 17:12:55,2026-01-02 17:12:56,1.812s,PASSED
closeApplication(),,,,2026-01-02 17:12:56,2026-01-02 17:12:57,0.444s,PASSED
,,,,,,,
Test Cases/Login by WA,,,,2026-01-02 17:12:57,2026-01-02 17:13:20,23.632s,PASSED
"startExistingApplication(""id.co.labamu.app"")",,,,2026-01-02 17:12:57,2026-01-02 17:13:10,12.875s,PASSED
"widget = findTestObject(""Object Repository/btn-Widget-While"")",,,,2026-01-02 17:13:10,2026-01-02 17:13:10,0.043s,PASSED
"if (waitForElementPresent(widget, 5))",,,,2026-01-02 17:13:10,2026-01-02 17:13:15,5.181s,PASSED
else,,,,2026-01-02 17:13:15,2026-01-02 17:13:15,0.001s,PASSED
"edtWA = findTestObject(""Object Repository/edt-WA"")",,,,2026-01-02 17:13:15,2026-01-02 17:13:15,0.038s,PASSED
"chkAgreement = findTestObject(""Object Repository/btn-CheckBox"")",,,,2026-01-02 17:13:15,2026-01-02 17:13:15,0.039s,PASSED
"btnMasuk = findTestObject(""Object Repository/btn-Masuk"")",,,,2026-01-02 17:13:15,2026-01-02 17:13:15,0.040s,PASSED
"waitForElementPresent(edtWA, 10)",,,,2026-01-02 17:13:15,2026-01-02 17:13:15,0.247s,PASSED
"tap(edtWA, 10)",,,,2026-01-02 17:13:15,2026-01-02 17:13:16,0.332s,PASSED
"setText(edtWA, wa, 10)",,,,2026-01-02 17:13:16,2026-01-02 17:13:17,1.372s,PASSED
"tap(chkAgreement, 10)",,,,2026-01-02 17:13:17,2026-01-02 17:13:19,1.910s,PASSED
"waitForElementAttributeValue(btnMasuk, ""enabled"", ""true"", 10)",,,,2026-01-02 17:13:19,2026-01-02 17:13:20,0.824s,PASSED
"verifyElementAttributeValue(btnMasuk, ""enabled"", ""true"", 0)",,,,2026-01-02 17:13:20,2026-01-02 17:13:20,0.128s,PASSED
"tap(btnMasuk, 10)",,,,2026-01-02 17:13:20,2026-01-02 17:13:20,0.227s,PASSED
closeApplication(),,,,2026-01-02 17:13:20,2026-01-02 17:13:20,0.369s,PASSED
,,,,,,,
Test Cases/Login by WA,,,,2026-01-02 17:13:21,2026-01-02 17:13:44,23.225s,PASSED
"startExistingApplication(""id.co.labamu.app"")",,,,2026-01-02 17:13:21,2026-01-02 17:13:33,12.405s,PASSED
"widget = findTestObject(""Object Repository/btn-Widget-While"")",,,,2026-01-02 17:13:33,2026-01-02 17:13:33,0.043s,PASSED
"if (waitForElementPresent(widget, 5))",,,,2026-01-02 17:13:33,2026-01-02 17:13:38,5.051s,PASSED
else,,,,2026-01-02 17:13:38,2026-01-02 17:13:38,0.000s,PASSED
"edtWA = findTestObject(""Object Repository/edt-WA"")",,,,2026-01-02 17:13:38,2026-01-02 17:13:38,0.037s,PASSED
"chkAgreement = findTestObject(""Object Repository/btn-CheckBox"")",,,,2026-01-02 17:13:38,2026-01-02 17:13:38,0.038s,PASSED
"btnMasuk = findTestObject(""Object Repository/btn-Masuk"")",,,,2026-01-02 17:13:38,2026-01-02 17:13:38,0.045s,PASSED
"waitForElementPresent(edtWA, 10)",,,,2026-01-02 17:13:38,2026-01-02 17:13:38,0.280s,PASSED
"tap(edtWA, 10)",,,,2026-01-02 17:13:38,2026-01-02 17:13:39,0.332s,PASSED
"setText(edtWA, wa, 10)",,,,2026-01-02 17:13:39,2026-01-02 17:13:40,1.419s,PASSED
"tap(chkAgreement, 10)",,,,2026-01-02 17:13:40,2026-01-02 17:13:42,1.966s,PASSED
"waitForElementAttributeValue(btnMasuk, ""enabled"", ""true"", 10)",,,,2026-01-02 17:13:42,2026-01-02 17:13:43,0.847s,PASSED
"verifyElementAttributeValue(btnMasuk, ""enabled"", ""true"", 0)",,,,2026-01-02 17:13:43,2026-01-02 17:13:43,0.128s,PASSED
"tap(btnMasuk, 10)",,,,2026-01-02 17:13:43,2026-01-02 17:13:43,0.222s,PASSED
closeApplication(),,,,2026-01-02 17:13:43,2026-01-02 17:13:44,0.405s,PASSED
